"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"969","Zotu969","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.49,"Malacostraca","class",0.09,"Decapoda","order",0.05,"Strahlaxiidae","family",0.04,"Neaxius","genus",0.04,"Neaxius acanthus","species",0.03
"970","Zotu970","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.46,"Hydrozoa","class",0.38,"Anthoathecata","order",0.2,"Polyorchidae","family",0.13,"Polyorchis","genus",0.13,"Polyorchis penicillatus","species",0.13
"971","Zotu971","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.55,"Insecta","class",0.47,"Diptera","order",0.04,"Drosophilidae","family",0.03,"Drosophila","genus",0.03,"Drosophila karakasa","species",0.03
"972","Zotu972","","root","root",1,"Eukaryota","superkingdom",1,"Porifera","phylum",0.3,"Demospongiae","class",0.26,"Hadromerida","order",0.19,"Tethyidae","family",0.13,"Tethya","genus",0.13,"Tethya actinia","species",0.11
"973","Zotu973","","root","root",1,"Eukaryota","superkingdom",1,"Echinodermata","phylum",0.1,"Crinoidea","class",0.08,"Comatulida","order",0.08,"Comatulidae","family",0.07,"Comatula","genus",0.07,"Comatula rotalaria","species",0.07
"975","Zotu975","","root","root",1,"Eukaryota","superkingdom",1,"Porifera","phylum",0.27,"Homoscleromorpha","class",0.06,"Homosclerophorida","order",0.06,"Plakinidae","family",0.06,"Plakortis","genus",0.04,"Plakortis simplex","species",0.04
"976","Zotu976","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.51,"Arachnida","class",0.24,"Scorpiones","order",0.15,"Bothriuridae","family",0.07,"Brachistosternus","genus",0.07,"Brachistosternus peruvianus","species",0.03
"977","Zotu977","","root","root",1,"Eukaryota","superkingdom",1,"Mollusca","phylum",0.28,"Gastropoda","class",0.24,"Nudibranchia","order",0.1,"Polyceridae","family",0.07,"Tambja","genus",0.07,"Tambja stegosauriformis","species",0.06
"978","Zotu978","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.23,"Hydrozoa","class",0.22,"Anthoathecata","order",0.14,"Pennariidae","family",0.14,"Pennaria","genus",0.14,"Pennaria disticha","species",0.14
"979","Zotu979","","root","root",1,"Eukaryota","superkingdom",1,"Porifera","phylum",0.29,"Demospongiae","class",0.28,"Halichondrida","order",0.25,"Axinellidae","family",0.25,"Ptilocaulis","genus",0.24,"Ptilocaulis walpersi","species",0.24
"980","Zotu980","","root","root",1,"Eukaryota","superkingdom",1,"Nematoda","phylum",0.05,"Chromadorea","class",0.05,"Rhabditida","order",0.04,"Rhabditidae","family",0.04,"Caenorhabditis","genus",0.04,"Caenorhabditis tropicalis","species",0.04
"981","Zotu981","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.58,"Arachnida","class",0.21,"Ixodida","order",0,"Ixodidae","family",0,"Rhipicephalus","genus",0,"Rhipicephalus kohlsi","species",0
"983","Zotu983","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.65,"Insecta","class",0.62,"Lepidoptera","order",0.23,"Nymphalidae","family",0.08,"Vanessa","genus",0.04,"Vanessa terpsichore","species",0.04
"984","Zotu984","","root","root",1,"Eukaryota","superkingdom",1,"Chordata","phylum",0.38,"Squamata","order",0.07,"Typhlopidae","family",0.03,"Ramphotyphlops","genus",0.03,"Ramphotyphlops australis","species",0.03,"","",NA
"985","Zotu985","","root","root",1,"Eukaryota","superkingdom",1,"Porifera","phylum",0.17,"Demospongiae","class",0.15,"Hadromerida","order",0.05,"Hemiasterellidae","family",0.05,"Adreus","genus",0.05,"Adreus fascicularis","species",0.05
"988","Zotu988","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.26,"Hydrozoa","class",0.18,"Anthoathecata","order",0.1,"Pennariidae","family",0.01,"Pennaria","genus",0.01,"Pennaria disticha","species",0.01
"989","Zotu989","","root","root",1,"Eukaryota","superkingdom",1,"Porifera","phylum",0.24,"Demospongiae","class",0.24,"Verongida","order",0.04,"Aplysinidae","family",0.04,"Aplysina","genus",0.04,"Aplysina cauliformis","species",0.04
"990","Zotu990","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.3,"Anthozoa","class",0.18,"Pennatulacea","order",0.11,"Renillidae","family",0.11,"Renilla","genus",0.11,"Renilla muelleri","species",0.11
"993","Zotu993","","root","root",1,"Eukaryota","superkingdom",1,"Chordata","phylum",0.56,"Aves","class",0.19,"Passeriformes","order",0.18,"Acanthizidae","family",0.07,"Gerygone","genus",0.06,"Gerygone fusca","species",0.06
"994","Zotu994","","root","root",1,"Eukaryota","superkingdom",1,"Mollusca","phylum",0.1,"Gastropoda","class",0.06,"Helicarionidae","family",0.03,"Peloparion","genus",0.02,"Peloparion submissus","species",0.02,"","",NA
"996","Zotu996","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.69,"Insecta","class",0.56,"Diptera","order",0.17,"Tephritidae","family",0.07,"Cyrtostola","genus",0.07,"Cyrtostola limbata","species",0.07
"998","Zotu998","","root","root",1,"Eukaryota","superkingdom",1,"Chordata","phylum",0.46,"Mammalia","class",0.05,"Bovidae","family",0,"Beatragus","genus",0,"Beatragus hunteri","species",0,"","",NA
"999","Zotu999","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.51,"Insecta","class",0.36,"Lepidoptera","order",0.15,"Agonoxenidae","family",0,"Chrysoclista","genus",0,"Chrysoclista lathamella","species",0
"1000","Zotu1000","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.19,"Anthozoa","class",0.13,"Alcyonacea","order",0.09,"Plexauridae","family",0.06,"Euplexaura","genus",0.06,"Euplexaura crassa","species",0.06
"1001","Zotu1001","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.36,"Insecta","class",0.27,"Diptera","order",0.04,"Syrphidae","family",0.02,"Allograpta","genus",0.02,"Allograpta falcata","species",0.01
"1003","Zotu1003","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.29,"Hydrozoa","class",0.27,"Anthoathecata","order",0.22,"Pennariidae","family",0.2,"Pennaria","genus",0.2,"Pennaria disticha","species",0.2
"1005","Zotu1005","","root","root",1,"Eukaryota","superkingdom",1,"Mollusca","phylum",0.13,"Gastropoda","class",0.13,"Volutidae","family",0.01,"Cymbiola","genus",0.01,"Cymbiola pulchra","species",0.01,"","",NA
"1007","Zotu1007","","root","root",1,"Eukaryota","superkingdom",1,"Chordata","phylum",0.9,"Aves","class",0.56,"Psittaciformes","order",0.06,"Psittacidae","family",0.06,"Neophema","genus",0.03,"Neophema chrysogaster","species",0.03
"1008","Zotu1008","","root","root",1,"Eukaryota","superkingdom",1,"Porifera","phylum",0.14,"Hexactinellida","class",0.12,"Hexactinosida","order",0.12,"Aphrocallistidae","family",0.12,"Aphrocallistes","genus",0.12,"Aphrocallistes beatrix","species",0.12
"1009","Zotu1009","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.58,"Insecta","class",0.42,"Lepidoptera","order",0.09,"Crambidae","family",0.05,"Cydalima","genus",0.05,"Cydalima nr. diaphanalis WPH-2012","species",0.05
"1010","Zotu1010","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.64,"Insecta","class",0.5,"Coleoptera","order",0.18,"Dytiscidae","family",0.08,"Megadytes","genus",0.06,"Megadytes laevigatus","species",0.04
"1011","Zotu1011","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.24,"Hydrozoa","class",0.2,"Limnomedusae","order",0.14,"Olindiasidae","family",0.14,"Cubaia","genus",0.14,"Cubaia aphrodite","species",0.14
"1013","Zotu1013","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.18,"Anthozoa","class",0.08,"Actiniaria","order",0.06,"Aiptasiidae","family",0.02,"Aiptasia","genus",0.02,"Aiptasia pulchella","species",0.02
"1014","Zotu1014","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.46,"Hydrozoa","class",0.42,"Siphonophorae","order",0.28,"Physophoridae","family",0.2,"Physophora","genus",0.2,"Physophora hydrostatica","species",0.2
"1015","Zotu1015","","root","root",1,"Eukaryota","superkingdom",1,"Chordata","phylum",0.3,"Ascidiacea","class",0.03,"Stolidobranchia","order",0.03,"Styelidae","family",0.03,"Cnemidocarpa","genus",0.03,"Cnemidocarpa verrucosa","species",0.03
"1017","Zotu1017","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.44,"Arachnida","class",0.1,"Mesostigmata","order",0.04,"Laelapidae","family",0.04,"Laelaps","genus",0.04,"Laelaps taingueni","species",0.04
"1018","Zotu1018","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.44,"Insecta","class",0.25,"Hemiptera","order",0.06,"Membracidae","family",0.03,"Membracis","genus",0.03,"Membracis flava","species",0.03
"1019","Zotu1019","","root","root",1,"Eukaryota","superkingdom",1,"Annelida","phylum",0.16,"Polychaeta","class",0.16,"Sabellida","order",0.14,"Serpulidae","family",0.14,"Crucigera","genus",0.11,"Crucigera zygophora","species",0.11
"1021","Zotu1021","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.81,"Insecta","class",0.63,"Diptera","order",0.15,"Mycetophilidae","family",0.03,"Sciophila","genus",0.02,"Sciophila pseudoflexuosa","species",0.02
"1023","Zotu1023","","root","root",1,"Eukaryota","superkingdom",1,"Annelida","phylum",0.09,"Polychaeta","class",0.05,"Phyllodocida","order",0.04,"Goniadidae","family",0.02,"Goniada","genus",0.02,"Goniada japonica","species",0.02
"1024","Zotu1024","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.57,"Insecta","class",0.45,"Siphonaptera","order",0.04,"Ctenophthalmidae","family",0.04,"Neopsylla","genus",0.04,"Neopsylla sellaris","species",0.04
"1025","Zotu1025","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.62,"Insecta","class",0.32,"Hemiptera","order",0.16,"Aleyrodidae","family",0.04,"Neomaskellia","genus",0.03,"Neomaskellia andropogonis","species",0.03
"1026","Zotu1026","","root","root",1,"Eukaryota","superkingdom",1,"Platyhelminthes","phylum",0.17,"Cestoda","class",0.12,"Cyclophyllidea","order",0.11,"Dipylidiidae","family",0.11,"Dipylidium","genus",0.11,"Dipylidium caninum","species",0.11
"1027","Zotu1027","","root","root",1,"Eukaryota","superkingdom",1,"Platyhelminthes","phylum",0.16,"Cestoda","class",0.11,"Cyclophyllidea","order",0.09,"Dipylidiidae","family",0.06,"Dipylidium","genus",0.06,"Dipylidium caninum","species",0.06
"1028","Zotu1028","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",1,"Anthozoa","class",1,"Actiniaria","order",1,"Sagartiidae","family",1,"Sagartia","genus",1,"Sagartia ornata","species",1
"1030","Zotu1030","","root","root",1,"Eukaryota","superkingdom",1,"Annelida","phylum",0.08,"Polychaeta","class",0.08,"Sabellida","order",0.07,"Serpulidae","family",0.07,"Crucigera","genus",0.07,"Crucigera zygophora","species",0.07
"1032","Zotu1032","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.1,"Hydrozoa","class",0.09,"Anthoathecata","order",0.04,"Pennariidae","family",0.02,"Pennaria","genus",0.02,"Pennaria disticha","species",0.02
"1033","Zotu1033","","root","root",1,"Eukaryota","superkingdom",1,"Nemertea","phylum",0.06,"Palaeonemertea","class",0.05,"Tubulanidae","family",0.05,"Carinina","genus",0.05,"Carinina plecta","species",0.05,"","",NA
"1035","Zotu1035","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.4,"Insecta","class",0.29,"Hemiptera","order",0.11,"Cicadidae","family",0.1,"Haemopsalta (nomen nudum)","genus",0.05,"Haemopsalta flammeata (nomen nudum)","species",0.05
"1037","Zotu1037","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.3,"Insecta","class",0.28,"Hemiptera","order",0.02,"Cercopidae","family",0,"Paphnutius","genus",0,"Paphnutius ruficeps","species",0
"1039","Zotu1039","","root","root",1,"Eukaryota","superkingdom",1,"Porifera","phylum",0.16,"Demospongiae","class",0.16,"Halichondrida","order",0.07,"Axinellidae","family",0.07,"Ptilocaulis","genus",0.06,"Ptilocaulis walpersi","species",0.06
"1040","Zotu1040","","root","root",1,"Eukaryota","superkingdom",1,"Porifera","phylum",0.11,"Demospongiae","class",0.11,"Halichondrida","order",0.07,"Axinellidae","family",0.07,"Ptilocaulis","genus",0.07,"Ptilocaulis walpersi","species",0.07
"1041","Zotu1041","","root","root",1,"Eukaryota","superkingdom",1,"Mollusca","phylum",0.21,"Gastropoda","class",0.2,"Runcinidae","family",0.07,"Runcina","genus",0.07,"Runcina coronata","species",0.07,"","",NA
"1042","Zotu1042","","root","root",1,"Eukaryota","superkingdom",1,"Nematoda","phylum",0.05,"Chromadorea","class",0.04,"Rhabditida","order",0.03,"Rhabditidae","family",0,"Caenorhabditis","genus",0,"Caenorhabditis tropicalis","species",0
"1043","Zotu1043","","root","root",1,"Eukaryota","superkingdom",1,"Nemertea","phylum",0.12,"Anopla","class",0.09,"Heteronemertea","order",0.09,"Lineidae","family",0.09,"Iwatanemertes","genus",0.09,"Iwatanemertes piperata","species",0.09
"1044","Zotu1044","","root","root",1,"Eukaryota","superkingdom",1,"Mollusca","phylum",0.07,"Gastropoda","class",0.07,"Microcystidae","family",0.01,"Lamprocystis","genus",0.01,"Lamprocystis guttula","species",0.01,"","",NA
"1045","Zotu1045","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.43,"Hydrozoa","class",0.21,"Leptothecata","order",0.12,"Campanulariidae","family",0.11,"Bonneviella","genus",0.11,"Bonneviella regia","species",0.11
"1046","Zotu1046","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.17,"Hydrozoa","class",0.17,"Anthoathecata","order",0.13,"Pennariidae","family",0.1,"Pennaria","genus",0.1,"Pennaria disticha","species",0.1
"1047","Zotu1047","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.63,"Insecta","class",0.51,"Hymenoptera","order",0.24,"Eulophidae","family",0.03,"Neochrysocharis","genus",0.02,"Neochrysocharis okazakii","species",0.02
"1048","Zotu1048","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.67,"Insecta","class",0.58,"Lepidoptera","order",0.09,"Nymphalidae","family",0.02,"Stibochiona","genus",0.01,"Stibochiona nicea","species",0.01
"1049","Zotu1049","","root","root",1,"Eukaryota","superkingdom",1,"Chordata","phylum",0.89,"Aves","class",0.52,"Piciformes","order",0.05,"Picidae","family",0.05,"Colaptes","genus",0.01,"Colaptes rupicola","species",0.01
"1050","Zotu1050","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.27,"Anthozoa","class",0.2,"Scleractinia","order",0.19,"Caryophylliidae","family",0.17,"Caryophyllia","genus",0.16,"Caryophyllia smithii","species",0.06
"1054","Zotu1054","","root","root",1,"Eukaryota","superkingdom",1,"Rotifera","phylum",0.05,"Monogononta","class",0.05,"Ploima","order",0.05,"Asplanchnidae","family",0.05,"Asplanchna","genus",0.05,"Asplanchna sieboldi","species",0.05
"1055","Zotu1055","","root","root",1,"Eukaryota","superkingdom",1,"Porifera","phylum",0.15,"Demospongiae","class",0.1,"Hadromerida","order",0.07,"Tethyidae","family",0.05,"Tethya","genus",0.05,"Tethya californiana","species",0.04
"1056","Zotu1056","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.23,"Anthozoa","class",0.17,"Actiniaria","order",0.1,"Halcampoididae","family",0.06,"Halcampoides","genus",0.06,"Halcampoides purpurea","species",0.06
"1057","Zotu1057","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.21,"Anthozoa","class",0.14,"Actiniaria","order",0.08,"Actinostolidae","family",0.04,"Antholoba","genus",0.04,"Antholoba achates","species",0.04
"1058","Zotu1058","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.54,"Arachnida","class",0.21,"Araneae","order",0.21,"Salticidae","family",0.06,"Popcornella","genus",0.05,"Popcornella nigromaculata","species",0.05
"1059","Zotu1059","","root","root",1,"Eukaryota","superkingdom",1,"Mollusca","phylum",1,"Bivalvia","class",1,"Veneroida","order",1,"Cardiidae","family",1,"Cerastoderma","genus",1,"Cerastoderma edule","species",1
"1061","Zotu1061","","root","root",1,"Eukaryota","superkingdom",1,"Echinodermata","phylum",0.04,"Crinoidea","class",0.02,"Comatulida","order",0.02,"Comatulidae","family",0.02,"Comatula","genus",0.02,"Comatula rotalaria","species",0.02
"1062","Zotu1062","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",1,"Maxillopoda","class",1,"Sessilia","order",1,"Archaeobalanidae","family",1,"Semibalanus","genus",1,"Semibalanus balanoides","species",1
"1065","Zotu1065","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.7,"Insecta","class",0.52,"Hymenoptera","order",0.17,"Braconidae","family",0.04,"Macrocentrus","genus",0.02,"Macrocentrus camphoraphilus","species",0.02
"1066","Zotu1066","","root","root",1,"Eukaryota","superkingdom",1,"Nematoda","phylum",0.12,"Chromadorea","class",0.12,"Rhabditida","order",0.11,"Metastrongylidae","family",0.05,"Metastrongylus","genus",0.05,"Metastrongylus salmi","species",0.05
"1067","Zotu1067","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.41,"Hydrozoa","class",0.37,"Anthoathecata","order",0.26,"Moerisiidae","family",0.09,"Moerisia","genus",0.09,"Moerisia inkermanica","species",0.09
"1068","Zotu1068","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.4,"Insecta","class",0.32,"Hymenoptera","order",0.12,"Agaonidae","family",0.04,"Ceratosolen","genus",0.04,"Ceratosolen albulus","species",0.04
"1069","Zotu1069","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.27,"Malacostraca","class",0.05,"Decapoda","order",0.04,"Strahlaxiidae","family",0.03,"Neaxius","genus",0.03,"Neaxius glyptocercus","species",0.03
"1070","Zotu1070","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.29,"Hydrozoa","class",0.21,"Anthoathecata","order",0.04,"Moerisiidae","family",0.03,"Moerisia","genus",0.03,"Moerisia inkermanica","species",0.03
"1072","Zotu1072","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.19,"Anthozoa","class",0.11,"Actiniaria","order",0.05,"Hormathiidae","family",0.02,"Hormathia","genus",0.02,"Hormathia digitata","species",0.02
"1074","Zotu1074","","root","root",1,"Eukaryota","superkingdom",1,"Echinodermata","phylum",0.23,"Crinoidea","class",0.2,"Comatulida","order",0.2,"Colobometridae","family",0.12,"Oligometra","genus",0.09,"Oligometra serripinna","species",0.08
"1075","Zotu1075","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.75,"Insecta","class",0.68,"Hymenoptera","order",0.15,"Tenthredinidae","family",0.06,"Allantus","genus",0.04,"Allantus luctifer","species",0.04
"1076","Zotu1076","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.52,"Insecta","class",0.29,"Hemiptera","order",0.15,"Cicadidae","family",0.13,"Popplepsalta (nomen nudum)","genus",0.04,"Popplepsalta rubristrigata (nomen nudum)","species",0.03
"1077","Zotu1077","","root","root",1,"Eukaryota","superkingdom",1,"Chordata","phylum",0.12,"Ascidiacea","class",0.07,"Enterogona","order",0.07,"Corellidae","family",0.05,"Rhodosoma","genus",0.05,"Rhodosoma turcicum","species",0.05
"1078","Zotu1078","","root","root",1,"Eukaryota","superkingdom",1,"Echinodermata","phylum",0.11,"Crinoidea","class",0.07,"Comatulida","order",0.06,"Comatulidae","family",0.03,"Comanthus","genus",0.01,"Comanthus parvicirrus","species",0.01
"1080","Zotu1080","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.43,"Insecta","class",0.27,"Coleoptera","order",0.05,"Cleridae","family",0.01,"Megaphloeus","genus",0.01,"Megaphloeus tigrinus","species",0.01
"1081","Zotu1081","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.29,"Hydrozoa","class",0.27,"Anthoathecata","order",0.15,"Pennariidae","family",0.13,"Pennaria","genus",0.13,"Pennaria disticha","species",0.13
"1082","Zotu1082","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.34,"Hydrozoa","class",0.27,"Siphonophorae","order",0.17,"Physophoridae","family",0.15,"Physophora","genus",0.15,"Physophora hydrostatica","species",0.15
"1083","Zotu1083","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.14,"Hydrozoa","class",0.14,"Anthoathecata","order",0.08,"Pennariidae","family",0.07,"Pennaria","genus",0.07,"Pennaria disticha","species",0.07
"1085","Zotu1085","","root","root",1,"Eukaryota","superkingdom",1,"Chordata","phylum",0.15,"Actinopteri","class",0.09,"Cypriniformes","order",0.07,"Cyprinidae","family",0.06,"Henicorhynchus","genus",0.05,"Henicorhynchus lineatus","species",0.04
"1086","Zotu1086","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.39,"Hydrozoa","class",0.36,"Anthoathecata","order",0.22,"Corymorphidae","family",0.1,"Euphysa","genus",0.1,"Euphysa japonica","species",0.06
"1087","Zotu1087","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.4,"Arachnida","class",0.2,"Araneae","order",0.16,"Araneidae","family",0.03,"Arachnura","genus",0.01,"Arachnura scorpionoides","species",0.01
"1089","Zotu1089","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.5,"Arachnida","class",0.12,"Araneae","order",0.1,"Nephilidae","family",0,"Nephila","genus",0,"Nephila sumptuosa","species",0
"1090","Zotu1090","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.23,"Hydrozoa","class",0.21,"Siphonophorae","order",0.17,"Rhizophysidae","family",0.16,"Rhizophysa","genus",0.16,"Rhizophysa filiformis","species",0.16
"1091","Zotu1091","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.16,"Anthozoa","class",0.13,"Scleractinia","order",0.06,"Merulinidae","family",0.02,"Platygyra","genus",0.02,"Platygyra carnosus","species",0.02
"1092","Zotu1092","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.44,"Hydrozoa","class",0.26,"Siphonophorae","order",0.15,"Prayidae","family",0.1,"Praya","genus",0.1,"Praya reticulata","species",0.05
"1093","Zotu1093","","root","root",1,"Eukaryota","superkingdom",1,"Mollusca","phylum",0.16,"Gastropoda","class",0.16,"Helicarionidae","family",0.09,"Melloconcha","genus",0.09,"Melloconcha flavescens","species",0.09,"","",NA
"1094","Zotu1094","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.09,"Hydrozoa","class",0.05,"Narcomedusae","order",0.03,"Tetraplatia","genus",0.03,"Tetraplatia volitans","species",0.03,"","",NA
"1095","Zotu1095","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.47,"Insecta","class",0.29,"Hemiptera","order",0.03,"Cicadidae","family",0.02,"Munza","genus",0.01,"Munza trimeni","species",0.01
"1096","Zotu1096","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.11,"Anthozoa","class",0.11,"Scleractinia","order",0.11,"Caryophylliidae","family",0.09,"Caryophyllia","genus",0.02,"Caryophyllia grayi","species",0
"1100","Zotu1100","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.43,"Hydrozoa","class",0.43,"Anthoathecata","order",0.34,"Pennariidae","family",0.2,"Pennaria","genus",0.2,"Pennaria disticha","species",0.2
"1101","Zotu1101","","root","root",1,"Eukaryota","superkingdom",1,"Echinodermata","phylum",0.03,"Crinoidea","class",0.03,"Comatulida","order",0.03,"Comatulidae","family",0.03,"Alloeocomatella","genus",0.03,"Alloeocomatella pectinifera","species",0.03
"1102","Zotu1102","","root","root",1,"Eukaryota","superkingdom",1,"Chordata","phylum",1,"Ascidiacea","class",1,"Enterogona","order",1,"Cionidae","family",1,"Ciona","genus",1,"Ciona intestinalis","species",0.48
"1105","Zotu1105","","root","root",1,"Eukaryota","superkingdom",1,"Porifera","phylum",0.12,"Demospongiae","class",0.12,"Hadromerida","order",0.07,"Polymastiidae","family",0.07,"Polymastia","genus",0.07,"Polymastia littoralis","species",0.06
"1106","Zotu1106","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.31,"Insecta","class",0.19,"Hemiptera","order",0.09,"Cicadidae","family",0.09,"Falcatpsalta (nomen nudum)","genus",0.02,"Falcatpsalta aquila (nomen nudum)","species",0.02
"1107","Zotu1107","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.24,"Anthozoa","class",0.24,"Scleractinia","order",0.12,"Caryophylliidae","family",0.04,"Solenosmilia","genus",0.02,"Solenosmilia variabilis","species",0.02
"1109","Zotu1109","","root","root",1,"Eukaryota","superkingdom",1,"Nematoda","phylum",0.17,"Chromadorea","class",0.17,"Rhabditida","order",0.14,"Molineidae","family",0.09,"Nematodirus","genus",0.09,"Nematodirus oiratianus","species",0.09
"1111","Zotu1111","","root","root",1,"Eukaryota","superkingdom",1,"Annelida","phylum",0.08,"Polychaeta","class",0.06,"Phyllodocida","order",0.04,"Nereididae","family",0.04,"Hediste","genus",0.04,"Hediste japonica","species",0.04
"1112","Zotu1112","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.56,"Insecta","class",0.51,"Coleoptera","order",0.1,"Silphidae","family",0.04,"Nicrophorus","genus",0.04,"Nicrophorus carolinus","species",0.04
"1113","Zotu1113","","root","root",1,"Eukaryota","superkingdom",1,"Porifera","phylum",0.58,"Demospongiae","class",0.54,"Poecilosclerida","order",0.32,"Raspailiidae","family",0.3,"Hymeraphia","genus",0.12,"Hymeraphia breeni","species",0.12
"1115","Zotu1115","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.49,"Hydrozoa","class",0.32,"Siphonophorae","order",0.21,"Physophoridae","family",0.11,"Physophora","genus",0.11,"Physophora hydrostatica","species",0.11
"1116","Zotu1116","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.83,"Insecta","class",0.75,"Lepidoptera","order",0.23,"Papilionidae","family",0.04,"Luehdorfia","genus",0.04,"Luehdorfia taibai","species",0.04
"1117","Zotu1117","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.11,"Hydrozoa","class",0.03,"Narcomedusae","order",0.03,"Tetraplatia","genus",0.03,"Tetraplatia volitans","species",0.03,"","",NA
"1118","Zotu1118","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.5,"Insecta","class",0.25,"Coleoptera","order",0.03,"Lampyridae","family",0,"Photinus","genus",0,"Photinus stellaris","species",0
"1119","Zotu1119","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.55,"Arachnida","class",0.19,"Araneae","order",0.14,"Salticidae","family",0.07,"Ilargus","genus",0.03,"Ilargus galianoae","species",0.01
"1120","Zotu1120","","root","root",1,"Eukaryota","superkingdom",1,"Mollusca","phylum",0.11,"Gastropoda","class",0.11,"Planorbidae","family",0.08,"Bathyomphalus","genus",0.07,"Bathyomphalus contortus","species",0.07,"","",NA
