"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"32","Zotu32","","root","root",1,"Eukaryota","superkingdom",1,"Porifera","phylum",0.1,"Homoscleromorpha","class",0.06,"Homosclerophorida","order",0.06,"Plakinidae","family",0.06,"Plakortis","genus",0.06,"Plakortis simplex","species",0.06
"33","Zotu33","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.2,"Hydrozoa","class",0.12,"Limnomedusae","order",0.01,"Olindiasidae","family",0.01,"Cubaia","genus",0.01,"Cubaia aphrodite","species",0.01
"34","Zotu34","","root","root",1,"Eukaryota","superkingdom",1,"Annelida","phylum",1,"Polychaeta","class",1,"Capitellida","order",1,"Arenicolidae","family",1,"Arenicola","genus",1,"Arenicola marina","species",1
"35","Zotu35","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.55,"Malacostraca","class",0.11,"Amphipoda","order",0.03,"Aoridae","family",0.03,"Aoroides","genus",0.03,"Aoroides columbiae","species",0.03
"36","Zotu36","","root","root",1,"Eukaryota","superkingdom",1,"Porifera","phylum",0.2,"Homoscleromorpha","class",0.17,"Homosclerophorida","order",0.17,"Plakinidae","family",0.17,"Plakina","genus",0.14,"Plakina monolopha","species",0.14
"37","Zotu37","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.26,"Arachnida","class",0.15,"Opiliones","order",0.09,"Ischyropsalididae","family",0.09,"Ischyropsalis","genus",0.09,"Ischyropsalis navarrensis","species",0.09
"38","Zotu38","","root","root",1,"Eukaryota","superkingdom",1,"Chordata","phylum",0.32,"Ascidiacea","class",0.27,"Enterogona","order",0.27,"Ascidiidae","family",0.27,"Ascidia","genus",0.27,"Ascidia ahodori","species",0.27
"40","Zotu40","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.39,"Insecta","class",0.33,"Hemiptera","order",0.07,"Cercopidae","family",0.04,"Locris","genus",0.04,"Locris pullata","species",0.04
"41","Zotu41","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.6,"Maxillopoda","class",0.07,"Sessilia","order",0.07,"Balanidae","family",0.07,"Balanus","genus",0.07,"Balanus balanus","species",0.07
"42","Zotu42","","root","root",1,"Eukaryota","superkingdom",1,"Chordata","phylum",0.59,"Ascidiacea","class",0.59,"Enterogona","order",0.59,"Didemnidae","family",0.23,"Diplosoma","genus",0.2,"Diplosoma spongiforme","species",0.19
"43","Zotu43","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.33,"Arachnida","class",0.1,"Scorpiones","order",0.07,"Buthidae","family",0.04,"Buthacus","genus",0.04,"Buthacus occidentalis","species",0.04
"44","Zotu44","","root","root",1,"Eukaryota","superkingdom",1,"Porifera","phylum",0.06,"Homoscleromorpha","class",0.02,"Homosclerophorida","order",0.02,"Plakinidae","family",0.02,"Oscarella","genus",0.02,"Oscarella malakhovi","species",0.02
"45","Zotu45","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.52,"Insecta","class",0.42,"Hymenoptera","order",0.1,"Formicidae","family",0.04,"Iridomyrmex","genus",0.04,"Iridomyrmex spadius","species",0.04
"47","Zotu47","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.29,"Hydrozoa","class",0.29,"Limnomedusae","order",0.1,"Olindiasidae","family",0.1,"Cubaia","genus",0.1,"Cubaia aphrodite","species",0.1
"49","Zotu49","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",1,"Malacostraca","class",1,"Euphausiacea","order",1,"Euphausiidae","family",1,"Euphausia","genus",1,"Euphausia pacifica","species",1
"50","Zotu50","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.14,"Hydrozoa","class",0.06,"Siphonophorae","order",0.06,"Apolemiidae","family",0.04,"Apolemia","genus",0.04,"Apolemia lanosa","species",0.02
"51","Zotu51","","root","root",1,"Eukaryota","superkingdom",1,"Mollusca","phylum",0.38,"Gastropoda","class",0.28,"Hygromiidae","family",0.13,"Lindholmiola","genus",0.13,"Lindholmiola corcyrensis","species",0.13,"","",NA
"54","Zotu54","","root","root",1,"Eukaryota","superkingdom",1,"Mollusca","phylum",0.22,"Gastropoda","class",0.17,"Limacidae","family",0.03,"Limax","genus",0.03,"Limax giovannellae","species",0.03,"","",NA
"55","Zotu55","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.37,"Arachnida","class",0.18,"Scorpiones","order",0.1,"Buthidae","family",0.05,"Buthacus","genus",0.02,"Buthacus occidentalis","species",0.02
"56","Zotu56","","root","root",1,"Eukaryota","superkingdom",1,"Mollusca","phylum",0.25,"Gastropoda","class",0.24,"Helicarionidae","family",0.12,"Westracystis","genus",0.07,"Westracystis lissus","species",0.07,"","",NA
"57","Zotu57","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.48,"Insecta","class",0.37,"Lepidoptera","order",0.07,"Papilionidae","family",0.01,"Luehdorfia","genus",0.01,"Luehdorfia taibai","species",0.01
"58","Zotu58","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.37,"Insecta","class",0.3,"Lepidoptera","order",0.16,"Crambidae","family",0.08,"Tyspanodes","genus",0.07,"Tyspanodes hypsalis","species",0.07
"59","Zotu59","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.11,"Hydrozoa","class",0.05,"Anthoathecata","order",0.03,"Ptilocodiidae","family",0.01,"Hydrichthella","genus",0.01,"Hydrichthella epigorgia","species",0.01
"61","Zotu61","","root","root",1,"Eukaryota","superkingdom",1,"Chordata","phylum",0.14,"Actinopteri","class",0.09,"Clupeiformes","order",0.05,"Engraulidae","family",0.04,"Lycothrissa","genus",0.04,"Lycothrissa crocodilus","species",0.04
"62","Zotu62","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.41,"Insecta","class",0.32,"Lepidoptera","order",0.08,"Erebidae","family",0.03,"Episcepsis","genus",0.03,"Episcepsis inornata","species",0.03
"63","Zotu63","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.5,"Hydrozoa","class",0.28,"Anthoathecata","order",0.17,"Moerisiidae","family",0.15,"Moerisia","genus",0.15,"Moerisia inkermanica","species",0.15
"64","Zotu64","","root","root",1,"Eukaryota","superkingdom",1,"Mollusca","phylum",1,"Bivalvia","class",1,"Ostreoida","order",1,"Ostreidae","family",1,"Ostrea","genus",1,"Ostrea edulis","species",0.95
"66","Zotu66","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.11,"Hydrozoa","class",0.05,"Anthoathecata","order",0.03,"Ptilocodiidae","family",0.01,"Hydrichthella","genus",0.01,"Hydrichthella epigorgia","species",0.01
"67","Zotu67","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.59,"Insecta","class",0.51,"Lepidoptera","order",0.2,"Nymphalidae","family",0.12,"Heterosais","genus",0.05,"Heterosais giulia","species",0.05
"68","Zotu68","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.16,"Anthozoa","class",0.1,"Helioporacea","order",0.02,"Helioporidae","family",0.02,"Heliopora","genus",0.02,"Heliopora coerulea","species",0.02
"69","Zotu69","","root","root",1,"Eukaryota","superkingdom",1,"Bryozoa","phylum",1,"Gymnolaemata","class",1,"Cheilostomatida","order",1,"Bugulidae","family",1,"Bugula","genus",1,"Bugula neritina","species",1
"70","Zotu70","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.32,"Hydrozoa","class",0.14,"Siphonophorae","order",0.1,"Prayidae","family",0.05,"Praya","genus",0.05,"Praya reticulata","species",0.05
"72","Zotu72","","root","root",1,"Eukaryota","superkingdom",1,"Chordata","phylum",0.2,"Actinopteri","class",0.09,"Cypriniformes","order",0.06,"Cyprinidae","family",0.06,"Danionella","genus",0.06,"Danionella mirifica","species",0.06
"73","Zotu73","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.33,"Anthozoa","class",0.28,"Actiniaria","order",0.23,"Aiptasiidae","family",0.1,"Aiptasia","genus",0.1,"Aiptasia pulchella","species",0.1
"74","Zotu74","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",1,"Anthozoa","class",1,"Corallimorpharia","order",1,"Discosomatidae","family",1,"Rhodactis","genus",0.92,"Rhodactis mussoides","species",0.92
"76","Zotu76","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.32,"Hydrozoa","class",0.13,"Siphonophorae","order",0.08,"Agalmatidae","family",0.08,"Marrus","genus",0.08,"Marrus orthocanna","species",0.08
"77","Zotu77","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.35,"Arachnida","class",0.08,"Scorpiones","order",0.07,"Buthidae","family",0.04,"Buthacus","genus",0.03,"Buthacus occidentalis","species",0.03
"79","Zotu79","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.61,"Arachnida","class",0.19,"Mesostigmata","order",0.02,"Laelapidae","family",0.02,"Stratiolaelaps","genus",0.02,"Stratiolaelaps marilyn","species",0.02
"80","Zotu80","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.49,"Insecta","class",0.38,"Lepidoptera","order",0.15,"Geometridae","family",0.1,"Eois","genus",0.08,"Eois biradiata","species",0.06
"81","Zotu81","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.75,"Pycnogonida","class",0.09,"Pantopoda","order",0.09,"Ammotheidae","family",0.08,"Ammothella","genus",0.06,"Ammothella tuberculata","species",0.06
"82","Zotu82","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.44,"Insecta","class",0.38,"Coleoptera","order",0.07,"Staphylinidae","family",0.06,"Atheta","genus",0.05,"Atheta kenyamontis","species",0.05
"83","Zotu83","","root","root",1,"Eukaryota","superkingdom",1,"Mollusca","phylum",0.31,"Bivalvia","class",0.27,"Veneroida","order",0.26,"Galeommatidae","family",0.26,"Galeomma","genus",0.26,"Galeomma turtoni","species",0.26
"84","Zotu84","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.3,"Hydrozoa","class",0.24,"Anthoathecata","order",0.19,"Pennariidae","family",0.11,"Pennaria","genus",0.11,"Pennaria disticha","species",0.11
"85","Zotu85","","root","root",1,"Eukaryota","superkingdom",1,"Mollusca","phylum",0.28,"Gastropoda","class",0.24,"Turbinidae","family",0.05,"Homalopoma","genus",0.04,"Homalopoma nocturnum","species",0.03,"","",NA
"86","Zotu86","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.35,"Hydrozoa","class",0.31,"Limnomedusae","order",0.1,"Olindiasidae","family",0.1,"Cubaia","genus",0.1,"Cubaia aphrodite","species",0.1
"87","Zotu87","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.8,"Insecta","class",0.73,"Diptera","order",0.26,"Drosophilidae","family",0.02,"Acletoxenus","genus",0.01,"Acletoxenus indicus","species",0.01
"88","Zotu88","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.16,"Anthozoa","class",0.05,"Scleractinia","order",0.03,"Caryophylliidae","family",0.02,"Solenosmilia","genus",0.01,"Solenosmilia variabilis","species",0.01
"89","Zotu89","","root","root",1,"Eukaryota","superkingdom",1,"Nemertea","phylum",0.15,"Enopla","class",0.04,"Monostilifera","order",0.04,"Phallonemertes","genus",0.04,"Phallonemertes murrayi","species",0.04,"","",NA
"90","Zotu90","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.64,"Insecta","class",0.53,"Mantodea","order",0.05,"Hymenopodidae","family",0.02,"Antemna","genus",0.02,"Antemna rapax","species",0.02
"91","Zotu91","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.38,"Insecta","class",0.28,"Diptera","order",0.03,"Syrphidae","family",0.01,"Allograpta","genus",0.01,"Allograpta falcata","species",0
"92","Zotu92","","root","root",1,"Eukaryota","superkingdom",1,"Cnidaria","phylum",0.2,"Anthozoa","class",0.2,"Scleractinia","order",0.19,"Agariciidae","family",0.05,"Pavona","genus",0.02,"Pavona decussata","species",0.02
"93","Zotu93","","root","root",1,"Eukaryota","superkingdom",1,"Mollusca","phylum",0.18,"Gastropoda","class",0.17,"Helicarionidae","family",0.06,"Peloparion","genus",0.06,"Peloparion submissus","species",0.06,"","",NA
"94","Zotu94","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.47,"Insecta","class",0.44,"Lepidoptera","order",0.17,"Lycaenidae","family",0.03,"Chrysoritis","genus",0.02,"Chrysoritis lyncurium","species",0.02
"95","Zotu95","","root","root",1,"Eukaryota","superkingdom",1,"Chordata","phylum",0.54,"Actinopteri","class",0.24,"Myctophiformes","order",0.05,"Myctophidae","family",0.05,"Bolinichthys","genus",0.04,"Bolinichthys pyrsobolus","species",0.04
"96","Zotu96","","root","root",1,"Eukaryota","superkingdom",1,"Arthropoda","phylum",0.68,"Insecta","class",0.61,"Lepidoptera","order",0.23,"Nymphalidae","family",0.12,"Clossiana","genus",0.01,"Clossiana erda","species",0.01
