OTU	assignmentQual	taxID	superkingdom	phylum	class	order	family	genus	species
OTU_1	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_2	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_3	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_4	Low	2003118	Eukaryota		Chrysophyceae			Segregatospumella	Segregatospumella sp.
OTU_5	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_6	Low	1262161	Eukaryota	Rhodophyta	Bangiophyceae	Bangiales	Bangiaceae	Pyropia	Pyropia haitanensis
OTU_7	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_8	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_9	Low	65659	Eukaryota			Longamoebia	Acanthamoebidae	Acanthamoeba	Acanthamoeba comandoni
OTU_10	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_11	Low	1429247	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Skeletonemataceae	Skeletonema	Skeletonema potamos
OTU_12	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_13	Low	335992	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter ubique
OTU_14	High	38833	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla
OTU_15	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_16	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_18	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_19	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_20	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_21	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_22	Low	996801	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter	Polaribacter reichenbachii
OTU_23	High	38833	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla
OTU_24	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_25	High	7604	Eukaryota	Echinodermata	Asteroidea	Forcipulatida	Asteriidae	Asterias	Asterias rubens
OTU_26	Low	1705422	Eukaryota	Gastrotricha		Macrodasyida	Macrodasyidae	Urodasys	Urodasys sp. 114a
OTU_27	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_28	High	62808	Eukaryota	Chordata	Ascidiacea	Stolidobranchia	Styelidae	Botrylloides	Botrylloides leachii
OTU_29	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_30	Low	98051	Eukaryota		Synurophyceae	Ochromonadales	Ochromonadaceae	Poterioochromonas	Poterioochromonas stipitata
OTU_31	Low	1955561	Eukaryota		Chrysophyceae	Chromulinales	Paraphysomonadaceae	Paraphysomonas	Paraphysomonas sp.
OTU_32	Low	1262161	Eukaryota	Rhodophyta	Bangiophyceae	Bangiales	Bangiaceae	Pyropia	Pyropia haitanensis
OTU_33	Low	265543	Eukaryota	Bacillariophyta	Mediophyceae	Cymatosirales	Cymatosiraceae	Minutocellus	Minutocellus polymorphus
OTU_34	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_35	High-MH	None	Eukaryota	NA	NA	NA	NA	NA	NA
OTU_36	Low	162275	Eukaryota		Raphidophyceae			Haramonas	Haramonas dimorpha
OTU_37	Low	98051	Eukaryota		Synurophyceae	Ochromonadales	Ochromonadaceae	Poterioochromonas	Poterioochromonas stipitata
OTU_38	Low	38833	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla
OTU_39	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_40	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_41	High	41875	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos
OTU_42	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_43	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_44	Low	996801	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter	Polaribacter reichenbachii
OTU_45	Low-MH-S	1629251;1629252;1629253;1629254;1629257;1629258;1629259	Eukaryota	Chordata	Ascidiacea				NA
OTU_46	Low	2856	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Cylindrotheca	Cylindrotheca closterium
OTU_47	High	102976	Eukaryota	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	Euphausia	Euphausia pacifica
OTU_48	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_49	Low	996801	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter	Polaribacter reichenbachii
OTU_50	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_51	Low	1705422	Eukaryota	Gastrotricha		Macrodasyida	Macrodasyidae	Urodasys	Urodasys sp. 114a
OTU_52	Low	996801	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter	Polaribacter reichenbachii
OTU_53	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_54	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_55	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_56	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_57	High	10212	Eukaryota	Bryozoa	Gymnolaemata	Cheilostomatida	Bugulidae	Bugula	Bugula neritina
OTU_58	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_59	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_60	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_61	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_62	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_63	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_64	High	118375	Eukaryota	Rhodophyta	Florideophyceae	Halymeniales	Halymeniaceae	Grateloupia	Grateloupia turuturu
OTU_65	Low	905063	Eukaryota		Oomycetes	Peronosporales	Peronosporaceae	Phytophthora	Phytophthora elongata
OTU_66	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_67	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_68	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_69	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_70	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_71	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_72	High-MH	None	Eukaryota	Cnidaria	Anthozoa	Alcyonacea	Xeniidae	NA	NA
OTU_73	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_74	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_75	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_76	High-MH	None	Eukaryota	Mollusca	Bivalvia	Ostreoida	Ostreidae	Ostrea	NA
OTU_77	Low	35128	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	Thalassiosira pseudonana
OTU_78	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_79	Low	1841648	Eukaryota		Chrysophyceae	Chromulinales	Chromulinaceae	Pedospumella	Pedospumella sinomuralis
OTU_80	Low	996801	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter	Polaribacter reichenbachii
OTU_81	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_82	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_83	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_85	Low	1977864	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter sp. RS39
OTU_86	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_87	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_88	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_89	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_90	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_91	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_93	Low	529818	Eukaryota				Apusomonadidae	Thecamonas	Thecamonas trahens
OTU_94	Low	246205	Eukaryota		Oomycetes	Peronosporales	Peronosporaceae	Phytophthora	Phytophthora vignae
OTU_95	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_96	Low	133519	Eukaryota		Phaeophyceae	Ectocarpales	Chordariaceae	Halothrix	Halothrix lumbricalis
OTU_97	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_98	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_99	Low	335992	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter ubique
OTU_100	High	193556	Eukaryota	Rhodophyta	Florideophyceae	Ceramiales	Ceramiaceae	Ceramium	Ceramium secundatum
OTU_101	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_102	High	744985	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae		alpha proteobacterium HIMB59
OTU_103	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_104	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_105	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_106	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_107	High-MH	None	Eukaryota	Cnidaria	Anthozoa	Corallimorpharia	Discosomidae	NA	NA
OTU_108	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_109	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_110	High	339787	Eukaryota	Mollusca	Bivalvia	Veneroida	Mactridae	Mactra	Mactra chinensis
OTU_111	High	172976	Eukaryota	Rhodophyta	Florideophyceae	Gracilariales	Gracilariaceae	Gracilariopsis	Gracilariopsis longissima
OTU_112	Low	85795	Eukaryota	Porifera	Demospongiae	Bubarida	Dictyonellidae	Scopalina	Scopalina ruetzleri
OTU_113	Low	1892891	Eukaryota						Amoebozoa sp.
OTU_114	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_115	Low	1705422	Eukaryota	Gastrotricha		Macrodasyida	Macrodasyidae	Urodasys	Urodasys sp. 114a
OTU_116	Low	335992	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter ubique
OTU_117	Low	335992	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter ubique
OTU_118	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_119	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_120	High-MH	None	Eukaryota	Rhodophyta	Florideophyceae	Gigartinales	NA	NA	NA
OTU_121	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_122	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_123	Low	98051	Eukaryota		Synurophyceae	Ochromonadales	Ochromonadaceae	Poterioochromonas	Poterioochromonas stipitata
OTU_124	Low	996801	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter	Polaribacter reichenbachii
OTU_125	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_126	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_127	Low	1522713	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	Chaetoceros sp. MBTD-CMFRI-S045
OTU_128	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_129	Low	185982	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia	Nitzschia cf. promare
OTU_130	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_131	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_132	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_133	High-MH	None	Eukaryota	Arthropoda	Hexanauplia	Sessilia	NA	NA	NA
OTU_134	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_135	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_136	High	34785	Eukaryota	Chordata	Actinopteri	Syngnathiformes	Callionymidae	Callionymus	Callionymus lyra
OTU_137	Low	1977864	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter sp. RS39
OTU_138	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_139	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_140	High	159753	Eukaryota	Rhodophyta	Florideophyceae	Ceramiales	Rhodomelaceae	Polysiphonia	Polysiphonia elongata
OTU_141	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_142	Low	1977864	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter sp. RS39
OTU_143	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_144	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_145	High	193294	Eukaryota	Bryozoa	Gymnolaemata	Cheilostomatida	Watersiporidae	Watersipora	Watersipora subtorquata
OTU_146	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_147	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_148	Low	1977864	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter sp. RS39
OTU_149	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_150	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_151	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_152	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_153	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_154	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_155	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_156	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_157	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_158	Low	2358479	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum	Tenacibaculum sp. DSM 106434
OTU_159	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_160	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_161	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_162	High-MH	None	Eukaryota	Arthropoda	Hexanauplia	Sessilia	NA	NA	NA
OTU_163	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_164	Low	1705422	Eukaryota	Gastrotricha		Macrodasyida	Macrodasyidae	Urodasys	Urodasys sp. 114a
OTU_165	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_166	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_167	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_168	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_169	Low	2170623	Eukaryota	Chordata	Ascidiacea	Stolidobranchia	Styelidae	Polycarpa	Polycarpa sp. IV005
OTU_170	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_171	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_172	Low	1892891	Eukaryota						Amoebozoa sp.
OTU_173	Low	1977864	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter sp. RS39
OTU_174	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_175	High	6145	Eukaryota	Cnidaria	Scyphozoa	Semaeostomeae	Ulmaridae	Aurelia	Aurelia aurita
OTU_176	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_177	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_179	Low	1977864	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter sp. RS39
OTU_180	Low	265564	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	Thalassiosira punctigera
OTU_181	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_182	Low	335992	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter ubique
OTU_183	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_184	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_185	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_186	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_187	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_188	Low	98051	Eukaryota		Synurophyceae	Ochromonadales	Ochromonadaceae	Poterioochromonas	Poterioochromonas stipitata
OTU_189	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_190	Low	335992	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter ubique
OTU_191	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_192	Low	291168	Eukaryota	Rhodophyta	Florideophyceae	Ceramiales	Ceramiaceae	Griffithsia	Griffithsia okiensis
OTU_193	Low	996801	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter	Polaribacter reichenbachii
OTU_194	Low	335992	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter ubique
OTU_195	Low	335992	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter ubique
OTU_196	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_197	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_198	Low	216823	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Skeletonemataceae	Skeletonema	Skeletonema menzelii
OTU_199	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_200	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_201	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_202	High	6145	Eukaryota	Cnidaria	Scyphozoa	Semaeostomeae	Ulmaridae	Aurelia	Aurelia aurita
OTU_203	Low	1522444	Eukaryota	Chlorophyta					Chlorophyta sp. MBTD-CMFRI-S083
OTU_204	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_205	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_206	High	193294	Eukaryota	Bryozoa	Gymnolaemata	Cheilostomatida	Watersiporidae	Watersipora	Watersipora subtorquata
OTU_207	Low	335992	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter ubique
OTU_208	Low	1535398	Eukaryota		Phaeophyceae	Ectocarpales	Chordariaceae		Chordariaceae sp. 16 AP-2014
OTU_209	Low	29204	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Stephanodiscaceae	Cyclotella	Cyclotella cryptica
OTU_210	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_211	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_212	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_213	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_214	Low	2358479	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum	Tenacibaculum sp. DSM 106434
OTU_215	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_216	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_217	Low	92976	Eukaryota		Oomycetes	Saprolegniales	Saprolegniaceae	Leptolegnia	Leptolegnia caudata
OTU_218	Low	1644130	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Maribacter	Maribacter sp. 1_2014MBL_MicDiv
OTU_219	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_220	Low	996801	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter	Polaribacter reichenbachii
OTU_221	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_222	High	193294	Eukaryota	Bryozoa	Gymnolaemata	Cheilostomatida	Watersiporidae	Watersipora	Watersipora subtorquata
OTU_223	Low	2858	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia	Nitzschia alba
OTU_224	Low	314522	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Campanulariidae	Gonothyraea	Gonothyraea loveni
OTU_225	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_226	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_227	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_228	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_229	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_230	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_231	Low	1514163	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Coscinodiscales	Coscinodiscaceae	Coscinodiscus	Coscinodiscus sp. 35 LG-2014
OTU_232	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_233	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_234	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_235	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_236	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_237	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_238	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_239	Low	335992	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter ubique
OTU_240	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_241	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_242	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_243	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_244	High	626263	Eukaryota	Bryozoa	Gymnolaemata	Cheilostomatida	Candidae	Scrupocellaria	Scrupocellaria scruposa
OTU_245	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_246	Low	1644130	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Maribacter	Maribacter sp. 1_2014MBL_MicDiv
OTU_247	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_248	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_249	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_250	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_251	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_252	Low	90013	Eukaryota		Phaeophyceae	Ectocarpales	Chordariaceae	Punctaria	Punctaria latifolia
OTU_253	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_254	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_255	Low	655981	Eukaryota	Ascomycota	Leotiomycetes		Pseudeurotiaceae	Pseudogymnoascus	Pseudogymnoascus destructans
OTU_256	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_257	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_258	Low	1535362	Eukaryota		Phaeophyceae	Ectocarpales	Ectocarpaceae	Ectocarpus	Ectocarpus sp. 6 AP-2014
OTU_259	Low	265543	Eukaryota	Bacillariophyta	Mediophyceae	Cymatosirales	Cymatosiraceae	Minutocellus	Minutocellus polymorphus
OTU_260	Low	1167875	Eukaryota					Squamamoeba	Squamamoeba japonica
OTU_261	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_262	Low	33653	Eukaryota			Bicosoecida	Cafeteriaceae	Cafeteria	Cafeteria roenbergensis
OTU_263	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_264	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_265	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_266	High	581057	Eukaryota	Chordata	Ascidiacea	Stolidobranchia	Styelidae	Botrylloides	Botrylloides violaceus
OTU_267	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_269	Low	65665	Eukaryota			Longamoebia	Acanthamoebidae	Acanthamoeba	Acanthamoeba tubiashi
OTU_270	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_271	Low	2020319	Eukaryota				Paramoebidae	Neoparamoeba	Neoparamoeba longipodia
OTU_272	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_273	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_274	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_275	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_276	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_277	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_278	Low	5400	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Agrocybe	Agrocybe aegerita
OTU_279	High	544687	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia bifilosa
OTU_280	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_281	Low	1388755	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter sp. HIMB1321
OTU_282	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_283	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_284	Low	335992	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter ubique
OTU_285	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_286	Low	2843	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Skeletonemataceae	Skeletonema	Skeletonema costatum
OTU_287	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_288	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_289	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_290	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_291	High-MH	None	Eukaryota	Cnidaria	Anthozoa	Alcyonacea	NA	NA	NA
OTU_292	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_293	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_294	Low	679013	Eukaryota	Rhodophyta	Florideophyceae	Ceramiales	Ceramiaceae	Ceramium	Ceramium pacificum
OTU_295	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_296	Low	996801	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter	Polaribacter reichenbachii
OTU_297	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_298	Low	2003113	Eukaryota		Chrysophyceae	Chromulinales	Chromulinaceae	Pedospumella	Pedospumella sp.
OTU_299	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_300	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_301	Low	905063	Eukaryota		Oomycetes	Peronosporales	Peronosporaceae	Phytophthora	Phytophthora elongata
OTU_302	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_303	Low	85094	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia	Nitzschia frustulum
OTU_304	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_305	High	41875	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos
OTU_306	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_307	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_308	Low	1892891	Eukaryota						Amoebozoa sp.
OTU_309	High-MH	None	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Labrus	NA
