OTU	assignmentQual	taxID	superkingdom	phylum	class	order	family	genus	species
OTU_17446	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17447	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17448	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17449	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17450	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17451	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17452	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17453	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17454	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17456	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17457	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17458	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17459	Low	1869246	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Stephanodiscaceae	Stephanodiscus	Stephanodiscus cf. minutulus
OTU_17460	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17461	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17462	Low	180228	Eukaryota				Paramoebidae	Paramoeba	Paramoeba pemaquidensis
OTU_17463	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17464	Low	669489	Eukaryota		Oomycetes	Peronosporales	Peronosporaceae	Phytophthora	Phytophthora frigida
OTU_17465	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17466	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17467	Low	996801	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter	Polaribacter reichenbachii
OTU_17468	Low	2358479	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum	Tenacibaculum sp. DSM 106434
OTU_17469	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17470	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17471	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17472	High	303400	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia	Nitzschia palea
OTU_17473	High-MH	None	Eukaryota	Arthropoda	Insecta	Diptera	Dolichopodidae	Dolichopus	NA
OTU_17474	Low	126592	Eukaryota	Annelida	Polychaeta	Phyllodocida	Nereididae	Hediste	Hediste diversicolor
OTU_17475	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17476	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17477	Low	1675079	Eukaryota	Arthropoda	Insecta	Lepidoptera	Geometridae		Ennominae sp. BOLD:ACB0687
OTU_17478	High	874270	Eukaryota	Arthropoda	Malacostraca	Decapoda	Porcellanidae	Pisidia	Pisidia longicornis
OTU_17479	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17480	Low	65659	Eukaryota			Longamoebia	Acanthamoebidae	Acanthamoeba	Acanthamoeba comandoni
OTU_17481	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17482	High	335759	Eukaryota	Mollusca	Gastropoda	Trochida	Phasianellidae	Tricolia	Tricolia pullus
OTU_17483	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17484	Low	79858	Eukaryota	Ascomycota	Leotiomycetes		Pseudeurotiaceae	Pseudogymnoascus	Pseudogymnoascus pannorum
OTU_17485	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17486	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17487	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17488	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17489	Low	1841648	Eukaryota		Chrysophyceae	Chromulinales	Chromulinaceae	Pedospumella	Pedospumella sinomuralis
OTU_17490	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17491	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17492	Low	79858	Eukaryota	Ascomycota	Leotiomycetes		Pseudeurotiaceae	Pseudogymnoascus	Pseudogymnoascus pannorum
OTU_17493	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17494	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17495	Low	91925	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala lecanii-corni
OTU_17496	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17498	Low	1892891	Eukaryota						Amoebozoa sp.
OTU_17499	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17500	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17501	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17503	Low	131350	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Calonectria	Calonectria colhounii
OTU_17504	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17505	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17506	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17507	Low	996801	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter	Polaribacter reichenbachii
OTU_17509	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17510	Low	459526	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium anhuiense
OTU_17511	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17512	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17513	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17514	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17515	Low	178779	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Pseudo-nitzschia	Pseudo-nitzschia pseudodelicatissima
OTU_17517	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17518	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17519	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17520	Low	290615	Eukaryota	Ascomycota	Leotiomycetes			Leohumicola	Leohumicola verrucosa
OTU_17521	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17522	Low	642827	Eukaryota	Nematoda	Chromadorea	Rhabditida			Rhabditida sp. 3021ed
OTU_17523	Low	1973054	Eukaryota				Vannellidae	Vannella	Vannella sp.
OTU_17524	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17525	None	None	NA	NA	NA	NA	NA	NA	NA
