"","S1.T0","S1.T1","S1.T2","S1.T3","S1.T4","S1.T5","S1.T6","S1.T7","S1.T8","S1.T9","S2.T0","S2.T1","S2.T2","S2.T3","S2.T4","S2.T5","S2.T6","S2.T7","S2.T8","S2.T9","S3.T0","S3.T1","S3.T2","S3.T3","S3.T4","S3.T5","S3.T6","S3.T7","S3.T8","S3.T9","S4.T0","S4.T1","S4.T2","S4.T3","S4.T4","S4.T5","S4.T6","S4.T7","S4.T8","S4.T9","S5.T0","S5.T1","S5.T2","S5.T3","S5.T4","S5.T5","S5.T6","S5.T7","S5.T8","S5.T9","S6.T0","S6.T1","S6.T2","S6.T3","S6.T4","S6.T5","S6.T6","S6.T7","S6.T8","S6.T9","S7.T0","S7.T1","S7.T2","S7.T3","S7.T4","S7.T5","S7.T6","S7.T7","S7.T8","S7.T9","S8.T0","S8.T1","S8.T2","S8.T4","S8.T5","S8.T6","S8.T7","S8.T8","S8.T9","C1","C2","C3","C4","C5","C6","C7","C8","OTU","assignmentQual","taxID","superkingdom","phylum","class","order","family","genus","species"
"OTU_1",2412,1697,558,1891,13797,19096,103488,212116,127104,142106,1746,1531,789,2204,17290,26094,102581,168106,90014,89176,1952,1343,431,2345,13483,22796,106952,145672,135550,181240,1618,1615,1384,1913,13062,27777,108986,154588,92561,145315,1346,957,993,1410,11366,13475,78684,57872,14678,2010,882,705,5833,1002,8107,11839,72774,79682,42614,3900,270,6951,2931,2033,20513,11393,59417,60539,7995,923,1903,1161,2448,15022,27327,107894,36858,5417,1994,0,0,0,0,0,0,0,0,"OTU_1","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10",99,139,26,56,164,295,941,4218,12837,18535,120,186,73,120,270,264,1037,4844,10508,14339,115,183,23,139,176,351,970,3530,15696,23805,114,119,48,100,249,289,1194,4575,16169,15918,102,80,36,43,163,157,1264,3620,3268,2004,40,32,397,71,215,186,1115,3645,6156,2174,0,326,103,52,270,208,1389,5524,2968,1984,72,55,71,256,544,2908,3611,2903,2522,0,0,0,0,0,0,0,0,"OTU_10","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_100",71,14,4,6,7,4,0,0,0,0,321,16,4,7,0,0,0,0,0,0,9,33,3958,15,0,0,0,0,0,0,8,3124,0,8,3,6,0,0,0,0,274,166,77,83,11,5,0,0,0,0,222,195,695,63,20,13,0,0,0,0,67,1369,293,154,42,9,4,2,0,3,159,163,225,40,37,3,0,0,0,0,3,0,0,438,506,1033,415,"OTU_100","High","193556","Eukaryota","Rhodophyta","Florideophyceae","Ceramiales","Ceramiaceae","Ceramium","Ceramium secundatum"
"OTU_1000",41,25,7,18,13,15,0,0,0,0,39,20,5,8,5,6,0,0,0,0,53,11,10,28,8,5,0,0,0,0,30,21,13,3,11,4,3,0,0,0,17,22,0,13,0,2,0,0,0,0,14,11,148,2,0,3,0,0,0,0,3,171,14,11,0,0,0,0,0,0,15,40,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"OTU_1000","Low","1076758","Eukaryota","","","Himatismenida","","Parvamoeba","Parvamoeba rugata"
"OTU_10001",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OTU_10001","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10003",0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OTU_10003","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10005",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OTU_10005","Low","1850252","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Tenacibaculum","Tenacibaculum todarodis"
"OTU_10006",0,0,0,0,0,0,2,0,0,0,0,13,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OTU_10006","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10008",0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OTU_10008","None","None",NA,NA,NA,NA,NA,NA,NA
"OTU_10009",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OTU_10009","None","None",NA,NA,NA,NA,NA,NA,NA
